title,description,url
CS50: Introduction to Computer Science | Harvard University,"An entry-level course taught by David J. Malan, CS50x teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, ...",https://pll.harvard.edu/course/cs50-introduction-computer-science
Introduction to Computer Science and Programming ...,"Learners will master the fundamentals of computer science by solving mathematical puzzles using interactive techniques, becoming a detective and solving crimes ...",https://www.coursera.org/specializations/introduction-computer-science-programming
CS50's Introduction to Computer Science,This course is part of CS50's AP® Computer Science Principles XSeries Program ; Expert instruction. 2 high-quality courses ; Self-paced. Progress at your own ...,https://www.edx.org/course/introduction-computer-science-harvardx-cs50x
CS101: Introduction to Computer Science I,This course will introduce you to the field of computer science and the fundamentals of computer programming. CS101 is specifically designed for students ...,https://learn.saylor.org/course/CS101
Introduction to Computer Science and Programming,Course Description. 6.00SC Introduction to Computer Science and Programming has been retired from the OCW site. It was taught using a version of Python that ...,https://ocw.mit.edu/courses/6-00sc-introduction-to-computer-science-and-programming-spring-2011/
Introduction to Computer Science (CS 101) for Beginners,10 key moments,https://www.youtube.com/watch?v=CNFK86hJRfE
Introduction to Programming and Computer Science - YouTube,21 key moments,https://www.youtube.com/watch?v=zOjov-2OZ0E
10 Best Computer Science Courses to Take in 2022,"Mar 8, 2022 — Level: Institution: Certificate: Provider:",https://www.freecodecamp.org/news/best-computer-science-courses/
Introduction to Computer Science,Course content · Computer Science Introduction3 lectures • 19min · Computer Science Programming4 lectures • 23min · Computer Science Algorithms2 lectures • 10min.,https://www.udemy.com/course/introduction-to-computer-science/
Introduction to computer science and programming ...,This specialisation covers topics ranging from basic computing principles to the mathematical foundations required for computer science.,https://www.london.ac.uk/courses/introduction-computer-science-and-programming-specialisation
Introduction to Computer Science,"We use pseudocode and the Java programming language for all assignments and exams in the course, but many Java features, such as applets, GUI programming, Java ...",https://introcs.cs.rutgers.edu/
Introduction to Computer Science and Engineering,You'll learn how to use a MaKey MaKey board and Scratch programming to invent games and solve problems. Get ready to take a hands-on approach in this fun course ...,https://cty.jhu.edu/programs/online/courses/introduction-to-computer-science-and-engineering-cse
Introduction to Computer Science,"Nov 22, 2022 —",https://en.wikiversity.org/wiki/Introduction_to_Computer_Science
Computer science,"Our mission is to provide a free, world-class education to anyone, anywhere. Khan Academy is a 501(c)(3) nonprofit organization. Donate or volunteer today!",https://www.khanacademy.org/computing/computer-science
